IDv4	IDv3	PosV3	PosV4	Symbol	Cloned	GeneName	Functional description
Zm00001d000045	GRMZM2G428470	9:114575016-114577006	B73V4_ctg182:953004-953960	-		Trihelix-transcription factor 28	FRIGIDA interacting protein 2
Zm00001d000046	GRMZM2G015324	9:114480823-114485894	B73V4_ctg182:1051027-1054330	 cbl9		calcineurin B-like9	-
Zm00001d000052	GRMZM2G148216	9:114324115-114328508	B73V4_ctg182:1208564-1214385	-		-	Casein kinase II subunit beta-1
Zm00001d000053	GRMZM2G148180	9:114301799-114306106	B73V4_ctg182:1230822-1235148	-		-	Histone H3 K4-specific methyltransferase SET7/9 family protein
Zm00001d000055	GRMZM2G002515	1:113534938-113538490	B73V4_ctg10:94253-97609	 brl2		bri1-like receptor kinase2	Encodes a brassinosteroid insensitive1-like receptor kinase.
Zm00001d000058	GRMZM2G396202	1:113484708-113486717	B73V4_ctg10:155739-156620	-		-	CRIB domain-containing protein RIC10
Zm00001d000060	GRMZM2G048121	1:113349058-113350674	B73V4_ctg10:292300-293833	-		-	NAD(P)-linked oxidoreductase superfamily protein
Zm00001d000061	GRMZM2G091782	1:113164358-113165896	B73V4_ctg10:480283-481819	-		-	GDSL esterase/lipase
Zm00001d000064	NA	NA	B73V4_ctg10:605863-608484	-		-	Glycine cleavage system H protein 2 mitochondrial
Zm00001d000067	NA	NA	B73V4_ctg10:676060-676732	-		-	Serine--tRNA ligase cytoplasmic
Zm00001d000070	GRMZM2G141526	1:112811149-112814705	B73V4_ctg10:839040-842527	-		-	Protein PLANT CADMIUM RESISTANCE 12
Zm00001d000071	GRMZM2G015767	1:112734170-112741865	B73V4_ctg10:856578-871342	-		-	Protein NRT1/ PTR FAMILY 8.3
Zm00001d000072	NA	NA	B73V4_ctg10:917444-925264	-		-	Protein NRT1/ PTR FAMILY 8.3
Zm00001d000074	NA	NA	B73V4_ctg31:78320-91352	-		-	Transducin/WD40 repeat-like superfamily protein
Zm00001d000076	NA	NA	B73V4_ctg31:236238-242444	-		-	Pentatricopeptide repeat-containing protein
Zm00001d000077	NA	NA	B73V4_ctg31:243552-267664	-		-	Calcium permeable stress-gated cation channel 1
Zm00001d000079	NA	NA	B73V4_ctg31:359763-361867	-		-	Coatomer subunit epsilon-1
Zm00001d000080	NA	NA	B73V4_ctg31:421411-431957	 cipk8		calcineurin B-like-interacting protein kinase8	-
Zm00001d000081	NA	NA	B73V4_ctg31:537761-539240	-		-	Serine/threonine-protein kinase RUNKEL
Zm00001d000085	GRMZM2G018923	3:545625-550635	B73V4_ctg31:591995-597038	-		-	transferases transferring hexosyl groups
Zm00001d000086	NA	NA	B73V4_ctg31:602596-604282	-		-	RNA-binding (RRM/RBD/RNP motifs) family protein
Zm00001d000087	GRMZM2G402779	3:558988-562095	B73V4_ctg31:604646-610425	-		-	Pentatricopeptide repeat-containing protein
Zm00001d000089	NA	NA	B73V4_ctg31:638364-640659	-		-	Boron transporter 4
Zm00001d000092	AC206764.4_FG003	3:654965-655642	B73V4_ctg31:685972-686649	-		-	Expressed protein;  protein
Zm00001d000093	AC206764.4_FG001	3:690875-692941	B73V4_ctg31:721884-723473	-		-	Pentatricopeptide repeat-containing protein  mitochondrial
Zm00001d000094	GRMZM5G825902	3:737106-741671	B73V4_ctg31:770301-774996	-		-	ACT domain-containing protein ACR12
Zm00001d000095	NA	NA	B73V4_ctg31:775860-776420	-		-	9-cis-epoxycarotenoid dioxygenase NCED3 chloroplastic
Zm00001d000097	GRMZM2G398795	4:122415042-122418393	B73V4_ctg91:4489-5343	-		-	Polyadenylate-binding protein-interacting protein 10
Zm00001d000098	GRMZM2G081359	4:122345908-122370727	B73V4_ctg91:51271-76184	-		-	Probable protein phosphatase 2C 12
Zm00001d000099	GRMZM2G013079	4:122210629-122217176	B73V4_ctg91:203934-209968	-		-	Beta-13-galactosyltransferase 7
Zm00001d000104	GRMZM2G460684	4:121772792-121773408	B73V4_ctg91:664683-665212	-		-	40S ribosomal protein S14-3
Zm00001d000106	NA	NA	B73V4_ctg52:19930-20271	-		-	late embryogenesis abundant protein
Zm00001d000107	GRMZM2G120938	4:207705928-207709057	B73V4_ctg52:21320-24408	-		-	Fatty acyl-CoA reductase 1
Zm00001d000109	NA	NA	B73V4_ctg52:51214-56714	-		-	hAT transposon superfamily protein
Zm00001d000110	GRMZM2G139760	4:208030163-208035544	B73V4_ctg52:187964-193349	-		MYB-related-transcription factor 61	SWI/SNF complex subunit SWI3C
Zm00001d000112	GRMZM2G123667	4:208153304-208156017	B73V4_ctg52:346937-349561	-		NAC-transcription factor 125	NAC domain-containing protein 2
Zm00001d000115	NA	NA	B73V4_ctg52:578562-578890	-		-	Probable protein phosphatase 2C 33
Zm00001d000116	GRMZM2G060800	4:208419820-208426266	B73V4_ctg52:628311-634545	-		-	Aldehyde dehydrogenase
Zm00001d000117	NA	NA	B73V4_ctg142:68137-71202	-		-	Glucan endo-13-beta-glucosidase 14
Zm00001d000118	NA	NA	B73V4_ctg142:408174-415928	-		-	rRNA processing protein-related
Zm00001d000120	NA	NA	B73V4_ctg142:542642-545404	 mch2		maize CRY1 homolog2	Homolog to yeast 40S ribosomal protein S14 gene family (cDNA probe)
Zm00001d000121	NA	NA	B73V4_ctg142:632306-633637	-		-	40S ribosomal protein S4-3
Zm00001d000122	GRMZM2G069856	2:61290418-61296910	B73V4_ctg56:93250-99802	-		-	forkhead-associated domain-containing protein / FHA domain-containing protein
Zm00001d000123	GRMZM2G069708	2:61285692-61289836	B73V4_ctg56:100371-104438	-		-	NAD(P)-binding Rossmann-fold superfamily protein
Zm00001d000124	GRMZM2G016749	2:61260068-61264528	B73V4_ctg56:125718-130113	-		-	Probable protein phosphatase 2C 40
Zm00001d000126	GRMZM2G154223	2:61137166-61138179	B73V4_ctg56:252289-254953	-		-	OSJNBb0118P14.9 protein; Os04g0403901 protein
Zm00001d000133	GRMZM2G157269	2:60902602-60907977	B73V4_ctg56:492709-499020	-		-	Acetyl-coenzyme A synthetase chloroplastic/glyoxysomal
Zm00001d000134	GRMZM2G320941	2:60885828-60887231	B73V4_ctg56:517290-518693	-		-	OSJNBa0020I02.16 protein
Zm00001d000135	GRMZM2G158911	1:146834083-146835145	B73V4_ctg65:75416-77421	-		-	Late embryogenesis abundant protein (LEA) family protein
Zm00001d000137	GRMZM2G420723	1:146516704-146519239	B73V4_ctg65:290651-294129	-		-	Putative pentatricopeptide repeat-containing protein  mitochondrial
Zm00001d000143	NA	NA	B73V4_ctg193:266240-271023	-		-	Expressed protein;  protein
Zm00001d000150	GRMZM2G136014	3:231798461-231809374	B73V4_ctg75:116649-127114	-		-	Transducin/WD40 repeat-like superfamily protein
Zm00001d000152	GRMZM2G136069	3:231743777-231745162	B73V4_ctg75:176002-183308	-		-	Pentatricopeptide repeat-containing protein
Zm00001d000153	GRMZM2G090722	3:231685690-231696565	B73V4_ctg75:228571-239357	-		-	Diaminopimelate decarboxylase 2 chloroplastic
Zm00001d000154	GRMZM2G313320	3:231562339-231563472	B73V4_ctg75:356241-356918	-		-	Expressed protein;  protein
Zm00001d000156	NA	NA	B73V4_ctg75:455266-458201	-		-	Vesicle-fusing ATPase
Zm00001d000157	NA	NA	B73V4_ctg75:477512-477829	-		-	9-cis-epoxycarotenoid dioxygenase NCED3 chloroplastic
Zm00001d000158	GRMZM2G016558	4:208767951-208770121	B73V4_ctg53:105994-107904	-		-	Putative ankyrin repeat domain family protein
Zm00001d000159	AC194133.3_FG004	4:208897529-208899388	B73V4_ctg53:231774-233143	-		-	60S ribosomal protein L11-2
Zm00001d000160	GRMZM2G375856	4:208984110-208987556	B73V4_ctg53:296217-299719	-		-	Transducin/WD40 repeat-like superfamily protein
Zm00001d000161	GRMZM2G073290	4:209022805-209023472	B73V4_ctg53:334998-335553	 betl4		basal endosperm transfer layer4	cDNA sequence, basal endosperm specific
Zm00001d000163	GRMZM2G089856	4:209050198-209052191	B73V4_ctg53:362312-364295	-		-	1-aminocyclopropane-1-carboxylate oxidase
Zm00001d000164	GRMZM2G026024	4:159020429-159023347	B73V4_ctg50:6747-9235	-		-	Phosphoribulokinase chloroplastic
Zm00001d000165	GRMZM2G125259	4:159061689-159065270	B73V4_ctg50:47321-48070	-		-	Bromodomain transcription factor
Zm00001d000166	GRMZM2G125320	4:159099056-159105527	B73V4_ctg50:84566-91323	-		-	Tudor/PWWP/MBT superfamily protein
Zm00001d000168	GRMZM2G063192	4:159201602-159204082	B73V4_ctg50:189024-191498	 cdc201		cell division cycle201	-
Zm00001d000169	GRMZM2G178822	4:159220184-159228274	B73V4_ctg50:207558-215785	-		-	Serine/threonine-protein kinase MHK
Zm00001d000170	NA	NA	B73V4_ctg50:223163-226388	-		-	SRR1-like protein
Zm00001d000175	GRMZM2G004516	9:115793150-115794875	B73V4_ctg181:42145-44112	-		CONTAINS InterPro DOMAIN/s	Pleckstrin-like plant (InterPro:IPR013666) Pleckstrin homology (InterPro:IPR001849); BEST Arabidopsis thaliana protein match is: FORKED 1 (TAIR:AT3G63300.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archa /.../8; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).
Zm00001d000176	GRMZM2G004483	9:115786897-115789787	B73V4_ctg181:47426-49963	-		-	Zinc finger protein CONSTANS-LIKE 5
Zm00001d000178	GRMZM5G818887	9:115692361-115698056	B73V4_ctg181:132473-138116	-		autophagy3	Autophagy-related protein 3
Zm00001d000179	GRMZM5G889719	9:115615847-115616692	B73V4_ctg181:214703-215548	 ereb1		AP2-EREBP-transcription factor 1	Locus designated and assigned to a transcription factor family by the GRASSIUS project (Yilmaz et al 2009) , which also provided the mappings to the B73_Reference Genome sequence v2 gene models.
Zm00001d000180	GRMZM2G169200	9:115585319-115586609	B73V4_ctg181:244852-246066	-		-	8-amino-7-oxononanoate synthase
Zm00001d000183	GRMZM2G034061	9:115519260-115524432	B73V4_ctg181:307491-312293	 mstr4		monosaccharide transporter4	-
Zm00001d000184	GRMZM2G034110	9:115514419-115517835	B73V4_ctg181:314008-317339	 mybst1		single-repeat Myb protein1	-
Zm00001d000185	NA	NA	B73V4_ctg140:2505-5864	-		-	OSJNBa0016N04.12 protein
Zm00001d000189	NA	NA	B73V4_ctg140:276457-292237	-		-	MDIS1-interacting receptor like kinase 2
Zm00001d000191	NA	NA	B73V4_ctg72:95773-118440	-		-	E3 ubiquitin-protein ligase UPL6
Zm00001d000194	GRMZM2G133032	6:139808472-139809623	B73V4_ctg178:177577-178790	-		-	Glycine-rich protein family
Zm00001d000195	GRMZM2G133006	6:139782759-139785372	B73V4_ctg178:202000-204559	-		-	Putative MATE efflux family protein
Zm00001d000196	NA	NA	B73V4_ctg178:204778-207105	-		-	Putative MATE efflux family protein
Zm00001d000197	GRMZM2G435627	6:139769881-139770970	B73V4_ctg178:216729-217247	-		-	DUF3511 domain protein
Zm00001d000199	GRMZM2G136016	6:139675727-139680921	B73V4_ctg178:309330-314476	-		-	Nicotinamide adenine dinucleotide transporter 1 chloroplastic
Zm00001d000202	NA	NA	B73V4_ctg6:202989-206597	-		-	Charged multivesicular body protein 2a
Zm00001d000203	NA	NA	B73V4_ctg6:231862-233199	-		-	Patatin-like protein 6
Zm00001d000204	GRMZM2G444801	9:20343120-20348157	B73V4_ctg129:15011-19789	-		-	Probable sulfate transporter 3.4
Zm00001d000205	GRMZM2G106683	9:20313403-20321177	B73V4_ctg129:44771-52582	-		-	Carboxypeptidase SOL1
Zm00001d000213	GRMZM2G028928	9:20236213-20243502	B73V4_ctg129:120508-127694	-		-	Putative translation elongation factor family protein
Zm00001d000216	GRMZM2G323418	9:20163896-20165966	B73V4_ctg129:204285-205601	 mgs3		male gametophyte specific3	genomic sequence with homology to mgs2 cDNA
Zm00001d000219	GRMZM2G414601	3:171859888-171866267	B73V4_ctg26:73806-74621	-		-	Phytochrome B
Zm00001d000220	GRMZM2G126664	3:171822679-171824666	B73V4_ctg26:115480-117114	-		-	Pentatricopeptide repeat protein PPR868-14
Zm00001d000222	GRMZM2G039365	3:171792049-171795701	B73V4_ctg26:144186-147832	 sweet1a		sugars will eventually be exported transporter1a	-
Zm00001d000223	GRMZM2G138161	3:171756648-171760083	B73V4_ctg26:177561-180711	-		-	DNA repair metallo-beta-lactamase family protein
Zm00001d000224	GRMZM2G138176	3:171752543-171756334	B73V4_ctg26:181370-185154	-		-	F-box protein SKP2A
Zm00001d000226	NA	NA	B73V4_ctg170:40997-63503	-		-	ubiquitin-specific protease 7
Zm00001d000227	NA	NA	B73V4_ctg98:2666-3625	-		-	Pyruvate dehydrogenase E1 component subunit beta
Zm00001d000230	GRMZM2G118646	1:174298948-174303607	B73V4_ctg98:35084-39721	-		-	Protease Do-like 5 chloroplastic
Zm00001d000231	NA	NA	B73V4_ctg98:40487-45972	-		-	PIF1 helicase
Zm00001d000233	GRMZM2G047875	1:174243712-174248511	B73V4_ctg98:96278-101470	-		-	Cation/H(+) antiporter 19
Zm00001d000235	NA	NA	B73V4_ctg102:36642-37028	-		-	Peptidyl-prolyl cis-trans isomerase FKBP17-2 chloroplastic
Zm00001d000236	NA	NA	B73V4_ctg44:29069-33275	 b1		colored plant1	dominant B1 plants have anthocyanin in major plant tissues; some alleles affect aleurone and embryo color; regulates flavonoid enzymes; SSR umc1776
Zm00001d000237	NA	NA	B73V4_ctg44:71975-73515	 czog1		cis-zeatin O-glucosyltransferase1	gene intronless, genomic and cDNA sequences identical (Martin et al., 2001 PNAS 98:5922); expression high in roots and kernels (compare czog2).
Zm00001d000238	NA	NA	B73V4_ctg49:34019-35965	-		GRF-transcription factor 12	Growth-regulating factor 6
Zm00001d000240	GRMZM2G049091	6:158082951-158087562	B73V4_ctg11:22240-26791	-		-	Transcription initiation factor IIF beta subunit
Zm00001d000241	GRMZM2G032847	6:158057609-158060000	B73V4_ctg11:49629-52020	-		-	Single-stranded DNA-binding protein mitochondrial
Zm00001d000242	GRMZM2G033406	6:158056743-158057311	B73V4_ctg11:52503-52820	-		-	Expressed protein;  protein
Zm00001d000247	NA	NA	B73V4_ctg123:9585-17517	-		Homeobox-transcription factor 17	Homeobox-leucine zipper protein MERISTEM L1
Zm00001d000250	NA	NA	B73V4_ctg92:52272-58186	-		-	Expressed protein;  protein
Zm00001d000254	NA	NA	B73V4_ctg97:40258-40933	-		-	Nonsense-mediated mRNA decay protein 2 isoform 2
Zm00001d000256	NA	NA	B73V4_ctg100:4352-11693	-		-	Probable calcium-binding protein CML21
Zm00001d000257	NA	NA	B73V4_ctg77:1-3900	-		-	Transmembrane CLPTM1 family protein
Zm00001d000260	NA	NA	B73V4_ctg134:5196-6257	-		-	Photosystem II D2 protein
Zm00001d000270	NA	NA	B73V4_ctg134:17567-34329	-		-	DNA-directed RNA polymerase subunit beta
Zm00001d000272	NA	NA	B73V4_ctg134:37464-39137	-		-	Photosystem I P700 chlorophyll a apoprotein A2
Zm00001d000277	NA	NA	B73V4_ctg134:46348-52214	-		-	ATP synthase subunit beta chloroplastic
Zm00001d000279	NA	NA	B73V4_ctg134:52981-54432	-		-	Ribulose bisphosphate carboxylase large chain
Zm00001d000282	NA	NA	B73V4_ctg134:66945-68363	-		-	Photosystem II CP47 reaction center protein
Zm00001d000288	NA	NA	B73V4_ctg104:67198-68824	-		Aux/IAA-transcription factor 25	Auxin-responsive protein IAA29
Zm00001d000291	NA	NA	B73V4_ctg14:71867-75016	-		bHLH-transcription factor 88	Transcription factor bHLH69
Zm00001d000293	NA	NA	B73V4_ctg40:27712-33243	-		-	Zinc finger protein 346
Zm00001d000294	NA	NA	B73V4_ctg73:52548-56015	-		-	O-succinylhomoserine sulfhydrylase
Zm00001d000295	NA	NA	B73V4_ctg73:70157-74787	-		-	Heat shock 70 kDa protein 10 mitochondrial
Zm00001d000296	NA	NA	B73V4_ctg133:7634-12663	-		-	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Zm00001d000297	NA	NA	B73V4_ctg133:13389-14323	-		-	B12D protein
Zm00001d000298	NA	NA	B73V4_ctg103:43852-45744	-		-	BRASSINOSTEROID INSENSITIVE 1-associated receptor kinase 1
Zm00001d000299	NA	NA	B73V4_ctg103:50560-54085	-		-	Endosomal targeting BRO1-like domain-containing protein
Zm00001d000300	NA	NA	B73V4_ctg107:25722-27077	-		eucaryotic translation initiation factor5	Eukaryotic translation initiation factor 5
Zm00001d000301	GRMZM2G067313	5:80224531-80227321	B73V4_ctg107:28850-31668	-		-	exocyst subunit exo70 family protein G1
Zm00001d000302	GRMZM5G829894	5:80424183-80426331	B73V4_ctg107:36639-40287	-		-	Probable protein phosphatase 2C 59
Zm00001d000303	NA	NA	B73V4_ctg107:44572-45477	-		Homeobox-transcription factor 24	Putative homeobox DNA-binding and leucine zipper domain family protein
Zm00001d000305	NA	NA	B73V4_ctg107:50634-54140	-		-	Disulfide oxidoreductase/ electron carrier/ oxidoreductase
Zm00001d000306	GRMZM2G147800	5:80751625-80757053	B73V4_ctg107:58890-59216	-		-	Adagio protein 1
Zm00001d000308	NA	NA	B73V4_ctg5:41480-42436	-		-	F-box domain containing protein expressed
Zm00001d000310	NA	NA	B73V4_ctg51:15658-16392	-		-	Protein LURP-one-related 5
Zm00001d000311	NA	NA	B73V4_ctg51:18625-23527	-		-	Outer membrane OMP85 family protein
Zm00001d000312	NA	NA	B73V4_ctg51:27816-30222	-		-	Ubiquitin carboxyl-terminal hydrolase 25
Zm00001d000313	NA	NA	B73V4_ctg51:50346-55788	-		-	Ubiquitin carboxyl-terminal hydrolase 25
Zm00001d000314	NA	NA	B73V4_ctg51:58448-59686	-		-	F-box protein
Zm00001d000316	NA	NA	B73V4_ctg89:18903-24123	-		NADP malic enzyme3	NADP-dependent malic enzyme%2C chloroplastic
Zm00001d000318	NA	NA	B73V4_ctg54:31034-33599	-		-	Trigger factor-like protein TIG Chloroplastic
Zm00001d000325	NA	NA	B73V4_ctg188:70613-72944	-		-	Tetratricopeptide repeat-like superfamily protein
Zm00001d000327	NA	NA	B73V4_ctg188:81471-82077	-		-	Cysteine protease 1
Zm00001d000328	NA	NA	B73V4_ctg74:56177-61576	-		-	Protein SIEL
Zm00001d000329	NA	NA	B73V4_ctg247:803-19871	-		-	DNA mismatch repair protein MSH5
Zm00001d000330	NA	NA	B73V4_ctg180:57626-59004	-		-	Retrotransposon-like protein
Zm00001d000332	NA	NA	B73V4_ctg125:17680-19880	-		-	Per1-like family protein
Zm00001d000337	NA	NA	B73V4_ctg117:66-1163	-		-	(+)-delta-cadinene synthase isozyme C2
Zm00001d000339	NA	NA	B73V4_ctg23:49432-50133	-		AP2-EREBP-transcription factor 92	Ethylene-responsive transcription factor 4%3B Putative AP2/EREBP transcription factor superfamily protein
Zm00001d000344	NA	NA	B73V4_ctg61:40115-44165	-		-	Purple acid phosphatase 3
Zm00001d000346	NA	NA	B73V4_ctg95:26643-34091	-		-	Protein kinase superfamily protein with octicosapeptide/Phox/Bem1p domain
Zm00001d000349	NA	NA	B73V4_ctg35:19508-27375	-		-	Preprotein translocase subunit SCY1 chloroplastic
Zm00001d000350	NA	NA	B73V4_ctg35:44795-47751	-		chloroplast SecY-1	Preprotein translocase subunit SCY1 chloroplastic
Zm00001d000354	NA	NA	B73V4_ctg206:10488-11720	-		-	Exopolygalacturonase
Zm00001d000355	NA	NA	B73V4_ctg206:55652-58153	-		-	Pectin lyase-like superfamily protein
Zm00001d000357	NA	NA	B73V4_ctg48:39499-44961	-		-	Fatty-acid-binding protein 2
Zm00001d000358	NA	NA	B73V4_ctg115:30305-33567	-		ARF-transcription factor 21	Auxin response factor 16
Zm00001d000360	NA	NA	B73V4_ctg115:42964-45072	-		-	Protein SRG1
Zm00001d000361	NA	NA	B73V4_ctg115:46043-53651	-		MYB-transcription factor 115	Transcription factor MYB104
Zm00001d000362	NA	NA	B73V4_ctg115:49957-50479	-		-	DNA-directed RNA polymerase V subunit 1
Zm00001d000364	NA	NA	B73V4_ctg189:5457-7653	-		-	Actin-related protein 2/3 complex subunit 3
Zm00001d000366	NA	NA	B73V4_ctg189:53838-56034	-		-	Actin-related protein 2/3 complex subunit 3
Zm00001d000367	NA	NA	B73V4_ctg13:27848-29041	-		-	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
Zm00001d000371	NA	NA	B73V4_ctg147:6935-7225	-		-	Adenylate kinase 1 chloroplastic
Zm00001d000373	NA	NA	B73V4_ctg147:31063-33536	-		-	Adenylate kinase 1 chloroplastic
Zm00001d000377	NA	NA	B73V4_ctg147:45931-48729	-		-	Adenylate kinase 1 chloroplastic
Zm00001d000379	NA	NA	B73V4_ctg24:12019-14648	-		-	ADP-ribosylation factor-like A1A
Zm00001d000380	NA	NA	B73V4_ctg24:17371-19441	-		-	Encodes a protein whose expression is responsive to nematode infection.
Zm00001d000381	NA	NA	B73V4_ctg24:21822-27498	-		-	Putative ARM repeat-containing protein containing family protein
Zm00001d000384	NA	NA	B73V4_ctg66:59013-63112	-		-	Tetratricopeptide repeat-like superfamily protein
Zm00001d000387	NA	NA	B73V4_ctg42:27125-28246	 mab13		math-btb13	-
Zm00001d000389	NA	NA	B73V4_ctg208:37618-41003	-		-	class III aminotransferase
Zm00001d000390	NA	NA	B73V4_ctg41:3464-4234	-		-	Putative RING zinc finger domain superfamily protein
Zm00001d000391	NA	NA	B73V4_ctg41:6448-10639	-		-	Probable protein phosphatase 2C 47
Zm00001d000392	NA	NA	B73V4_ctg41:19480-19755	-		embryo sac3	Embryo sac4
Zm00001d000395	NA	NA	B73V4_ctg173:2511-3353	-		-	Inner membrane protein oxaA
Zm00001d000396	NA	NA	B73V4_ctg173:7834-11320	-		-	Protein kinase superfamily protein
Zm00001d000398	NA	NA	B73V4_ctg29:51422-52453	-		-	Putative cyclin-A3-1
Zm00001d000399	NA	NA	B73V4_ctg4:28493-32925	 cps2		chloroplast protein synthesis2	CPN60 ortholog; 20-fold reduced RUBISCO, 2-fold reduced thylakoid polypeptides, decreased chloroplast polysomes (aka hcf133)Chaperonin60 a1. Molecular chaperone involved in Rubisco assembly. Also affects distribution of ribosomes on chloroplast mRNAs. (A. Barkan, 2015)
Zm00001d000400	NA	NA	B73V4_ctg4:41986-43707	-		-	Putative HLH DNA-binding domain superfamily protein
Zm00001d000401	NA	NA	B73V4_ctg248:21007-24366	-		-	FAD-dependent oxidoreductase family protein
Zm00001d000402	NA	NA	B73V4_ctg28:4355-7015	-		-	myosin heavy chain-related
Zm00001d000403	NA	NA	B73V4_ctg28:10641-12680	-		-	Protein binding protein
Zm00001d000406	NA	NA	B73V4_ctg46:27798-28721	-		chitinase4	Endochitinase EP3
Zm00001d000407	NA	NA	B73V4_ctg58:10359-22602	-		-	CBL-interacting serine/threonine-protein kinase 24
Zm00001d000408	NA	NA	B73V4_ctg58:30440-33578	-		-	EIN3-binding F-box protein 1
Zm00001d000409	NA	NA	B73V4_ctg69:13157-17316	-		-	Photosystem II reaction center PSB28 protein chloroplastic
Zm00001d000410	NA	NA	B73V4_ctg69:24296-24802	-		-	RING-H2 finger protein ATL3C
Zm00001d000412	NA	NA	B73V4_ctg8:43499-46626	-		-	hAT transposon superfamily protein
Zm00001d000413	NA	NA	B73V4_ctg8:51671-54164	-		-	UDP-glycosyltransferase 90A1
Zm00001d000414	NA	NA	B73V4_ctg151:52117-53637	-		-	Disease resistance protein RPM1
Zm00001d000417	NA	NA	B73V4_ctg121:20918-21979	-		psbA	Photosystem Q(B) protein
Zm00001d000418	NA	NA	B73V4_ctg121:28928-30307	 endo1		endosperm specific protein1	-
Zm00001d000419	NA	NA	B73V4_ctg141:39614-43058	-		-	HAD-superfamily hydrolase subfamily IG 5'-nucleotidase
Zm00001d000424	NA	NA	B73V4_ctg105:38570-40097	-		-	Phytolongin Phyl1.1
Zm00001d000425	NA	NA	B73V4_ctg219:9506-12192	-		-	Embryogenesis transmembrane protein-like
Zm00001d000428	NA	NA	B73V4_ctg68:36025-39222	-		-	Transmembrane 9 superfamily member 9
